codigo,estacao,timestamp,bacia,latitude,longitude,regiao,altitude,chuva_1h_mm,chuva_6h_mm,chuva_12h_mm,chuva_24h_mm,chuva_48h_mm,rio_nivel_m,rio_tendencia
DCRS-00010,Teutonia,2026-07-26T11:54:22.000+00:00,RS - Rio Taquari-Antas,-29.46030044555664,-51.76839828491211,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,0.20000000298023224,51.439998626708984,0.0007692307699471712
DCRS-00011,Travesseiro - Pouso Novo,2026-07-26T11:54:22.000+00:00,RS - Rio Taquari-Antas,-29.214500427246094,-52.15950012207031,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,3.0,71.05000305175781,-0.003076923079788685
DCRS-00012,Montenegro,2026-07-26T11:54:31.000+00:00,RS - Rio Caí,-29.69700050354004,-51.46009826660156,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,3.380000114440918,-0.019999999552965164
DCRS-00013,Putinga,2026-07-26T11:54:29.000+00:00,RS - Rio Taquari-Antas,-29.00029945373535,-52.160301208496094,Nordeste Rio-grandense,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.2000000476837158,441.0899963378906,0.008461538702249527
DCRS-00014,Barão de Cotegipe,2026-07-26T11:54:20.000+00:00,RS - Rio Passo Fundo,-27.624300003051758,-52.38410186767578,Noroeste Rio-grandense,,0.0,0.0,0.0,655.3499755859375,668.3499755859375,660.969970703125,0.0
DCRS-00015,Getúlio Vargas,2026-07-26T11:54:25.000+00:00,RS - Rios Apuaê – Inhandava,-27.880399703979492,-52.2322998046875,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,10.199999809265137,630.6099853515625,0.0007692307699471712
DCRS-00016,Passo Fundo,2026-07-26T11:54:27.000+00:00,RS - Rio Passo Fundo,-28.246999740600586,-52.371299743652344,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,2.4000000953674316,647.030029296875,0.0
DCRS-00017,Marau,2026-07-26T11:54:21.000+00:00,RS - Rio Taquari-Antas,-28.45680046081543,-52.18920135498047,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,8.800000190734863,503.0799865722656,-0.011538461782038212
DCRS-00018,União da Serra,2026-07-26T11:54:30.000+00:00,RS - Rio Taquari-Antas,-28.719600677490234,-52.08300018310547,Nordeste Rio-grandense,,0.0,0.0,0.0,0.0,1.399999976158142,330.9599914550781,-0.009999999776482582
DCRS-00019,Sarandi,2026-07-26T11:54:20.000+00:00,RS - Rio da Várzea,-27.937400817871094,-52.919498443603516,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,1.600000023841858,452.5,-0.0009090909152291715
DCRS-00020,Rodeio Bonito,2026-07-26T11:54:26.000+00:00,RS - Rio da Várzea,-27.49880027770996,-53.16019821166992,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,4.199999809265137,262.57000732421875,-0.0007692307699471712
DCRS-00021,Coronel Bicaco,2026-07-26T11:54:26.000+00:00,RS - Rios Turvo – Santa Rosa – Santo Cristo,-27.716899871826172,-53.713600158691406,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,0.6000000238418579,427.3999938964844,0.0
DCRS-00022,Santa Rosa - Pessegueirinho,2026-07-26T11:54:21.000+00:00,RS - Rios Turvo – Santa Rosa – Santo Cristo,-27.863800048828125,-54.48680114746094,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,2.4000000953674316,236.9199981689453,-0.004615384619683027
DCRS-00023,Panambi,2026-07-26T11:54:29.000+00:00,RS - Rio Ijuí,-28.301300048828125,-53.503299713134766,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,4.800000190734863,391.3500061035156,-0.007692307699471712
DCRS-00024,Ibirubá,2026-07-26T11:54:24.000+00:00,RS - Alto Jacuí,-28.621000289916992,-53.089599609375,Noroeste Rio-grandense,,1.399999976158142,1.399999976158142,1.399999976158142,1.7999999523162842,6.599999904632568,369.4800109863281,0.0007692307699471712
DCRS-00025,Caraá,2026-07-26T11:54:29.000+00:00,RS - Sinos,-29.76919937133789,-50.3572998046875,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,70.73999786376953,-0.0027272726874798536
DCRS-00026,Nova Palma,2026-07-26T11:54:27.000+00:00,RS - Baixo Jacuí,-29.476200103759766,-53.47930145263672,Centro Ocidental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,71.58000183105469,0.0
DCRS-00027,Santa Maria - Arroio Cadena,2026-07-26T11:54:27.000+00:00,RS - Rios Vacacaí - Vacacaí Mirim,-29.70009994506836,-53.835601806640625,Centro Ocidental Rio-grandense,,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,68.58999633789062,0.009230769239366055
DCRS-00028,Rio Pardo - Rio Jacuí,2026-07-26T11:54:27.000+00:00,RS - Baixo Jacuí,-29.99329948425293,-52.38140106201172,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,8.859999656677246,0.0
DCRS-00029,Sinimbu,2026-07-26T11:54:29.000+00:00,RS - Rio Pardo,-29.53350067138672,-52.51959991455078,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,1.2300000190734863,56.72999954223633,-0.005454545374959707
DCRS-00030,Cerro Branco/Candelária,2026-07-26T11:54:29.000+00:00,RS - Baixo Jacuí,-29.66950035095215,-52.93170166015625,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,69.7300033569336,-0.0023076923098415136
DCRS-00031,Montenegro/Nova Santa Rita,2026-07-26T11:54:21.000+00:00,RS - Rio Caí,-29.822647094726562,-51.350067138671875,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,2.4200000762939453,-0.009230769239366055
DCRS-00032,Charqueadas,2026-07-26T11:54:29.000+00:00,RS - Baixo Jacuí,-29.947799682617188,-51.617401123046875,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,2.9200000762939453,-0.008461538702249527
DCRS-00033,Porto Alegre - Ipanema,2026-07-26T11:54:26.000+00:00,RS - Lago Guaíba,-30.14189910888672,-51.22710037231445,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.20000000298023224,2.5999999046325684,1.0299999713897705,-0.009230769239366055
DCRS-00034,Mata,2026-07-26T11:54:27.000+00:00,RS - Rio Ibicuí,-29.56410026550293,-54.45249938964844,Centro Ocidental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,98.73999786376953,-0.003636363660916686
DCRS-00035,Jaguari,2026-07-26T11:54:26.000+00:00,RS - Rio Ibicuí,-29.499300003051758,-54.68870162963867,Centro Ocidental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,91.0999984741211,0.0
DCRS-00036,São Francisco de Assis,2026-07-26T11:54:24.000+00:00,RS - Rio Ibicuí,-29.547300338745117,-55.13639831542969,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,92.51000213623047,-0.006666666828095913
DCRS-00037,Mostardas,2026-07-26T11:54:27.000+00:00,RS - Litoral Médio,-31.020599365234375,-50.967098236083984,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,0.8899999856948853,-0.008461538702249527
DCRS-00038,Rio Grande,2026-07-26T11:54:28.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-32.02750015258789,-52.10210037231445,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.20000000298023224,0.4399999976158142,-0.003076923079788685
DCRS-00039,Pelotas - Colônia Z3,2026-07-26T11:54:23.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.702299118041992,-52.15660095214844,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,0.6399999856948853,0.0007692307699471712
DCRS-00040,São Loureço do Sul - Arroio São Lourenço,2026-07-26T11:54:28.000+00:00,RS - Rio Camaquã,-31.304489135742188,-52.09384536743164,Sudeste Rio-grandense,,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,35.70000076293945,0.0015384615398943424
DCRS-00041,Bagé,2026-07-26T11:54:22.000+00:00,RS - Rio Negro,-31.329599380493164,-54.09389877319336,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,188.77000427246094,0.0007692307699471712
DCRS-00042,Piratini - Cerrito,2026-07-26T11:54:26.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.719200134277344,-52.9010009765625,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,41.22999954223633,-0.007692307699471712
DCRS-00043,Três Forquilhas - Rio Pedras Brancas,2026-07-26T11:54:26.000+00:00,RS - Rio Tramandaí,-29.431900024414062,-50.111900329589844,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.20000000298023224,73.08999633789062,0.0
DCRS-00044,Viamão - Itapuã,2026-07-26T11:54:29.000+00:00,RS - Lago Guaíba,-30.28260040283203,-51.02130126953125,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,0.8600000143051147,0.00615384615957737
DCRS-00045,São Lourenço do Sul,2026-07-26T11:54:25.000+00:00,RS - Rio Camaquã,-31.377399444580078,-51.95989990234375,Sudeste Rio-grandense,,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.7599999904632568,-0.015384615398943424
DCRS-00046,Picada Café,2026-07-26T11:54:27.000+00:00,RS - Rio Caí,-29.461999893188477,-51.14039993286133,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.20000000298023224,0.4000000059604645,66.06999969482422,0.0007692307699471712
